,,,,,,,,,,,
dam_name,nidid,inspection_date,owner_typ,river,city,county,longitude,latitude,inspection_frequency,year_completed,year_modified
Leath Dam #2,NC03742,2/28/13,Private,Uwharrie River-Tr,not available,Randolph,-79.951,35.845,5,not available,not available
Hooper Dam,NC04045,1/16/14,Private,Haw River-Tr,not available,Rockingham,-79.561,36.258,5,not available,not available
Strawberry Ridge Dam,NC03501,12/28/94,Private,Crabtree Creek,Boonford,Mitchell,-82.1108,35.8475,2,not available,not available
Upper Ferree Dam,NC03833,11/19/12,Private,Little Polecat Ck-Tr,not available,Randolph,-79.706,35.903,5,not available,not available
Petersen Lake Dam Lower,NC03869,1/19/11,Private,Haw River-Tr,Altamahaw Ossipec,Rockingham,-79.824,36.255,5,1979,not available
Sanford Raw Water Reservoir,NC03259,10/10/07,Local Government,Bush Creek-Os,not available,Lee,-79.0475,35.5336,2,1993,not available
Jordan Dam,NC03701,8/27/14,Private,Ut To Walnut Creek,Columbus,Polk,-82.1347,35.3725,5,1979,not available
Mitchell Dam,NC03176,3/26/14,Private,Shoal Creek-Tr,Birdtown,Jackson,-83.295,35.433,5,not available,not available
Copeland Pond Dam,NC03372,11/1/12,Private,Roanoke River-Tr,Williamston,Martin,-77.329,36.059,5,1955,not available
Lower Three Lakes Estate Dam,NC03826,1/26/12,Private,Sandy Ck-Tr,not available,Randolph,-79.631,35.888,5,not available,not available
Mooney Dam,NC04228,2/13/13,Private,Reed Creek-Tr,Madison,Stokes,-80.063,36.376,5,not available,not available
Giverney Dam,NC03423,12/9/14,Private,Mcmullen Creek-Tr,Charlotte,Mecklenburg,-80.8141,35.1369,2,not available,not available
Harris Pond Dam,NC03465,12/18/14,Private,Clarks Creek-Tr,not available,Mecklenburg,-80.7826,35.3307,2,not available,not available
Gillespie Dam,NC04260,11/6/14,Private,Fisher River-Tr,Dobson,Surry,-80.733,36.4055,5,1978,not available
Mills Dam,NC04317,12/11/12,Private,Stoney Creek-Tr,Ararat,Surry,-80.5344,36.4583,5,not available,not available
Brooks Creek Dam,NC03359,1/9/13,Private,Brooks Creek,Clear Creek Comm.,Macon,-83.2241,35.0181,5,not available,not available
Pinewood Country Club Dam,NC03778,10/29/14,Private,North Prong Richland Ck,not available,Randolph,-79.817,35.62,2,not available,not available
Old Peel Farm Dam,NC03373,1/13/05,Private,Roanoke-Tr,Hamilton,Martin,-77.212,35.974,5,1960,not available
The Falls Dam,NC04367,4/13/10,Private,Indian Creek,Seneca Sc,Transylvania,-82.9191,35.1113,5,1989,not available
"Pinehurst Gc #6, Dam #2",NC03580,7/14/15,Private,Nick'S Creek-Tr,not available,Moore,-79.4422,35.2145,2,not available,not available
Trimont Estates Dam,NC03326,2/24/14,Private,Poindexter Branch,Iotla,Macon,-83.4258,35.204,5,not available,not available
Mooneyham Dam,NC03222,2/22/99,Private,Neuse River-Tr,Smithfield,Johnston,-78.3983,35.6816,5,not available,not available
Gladden Pond Dam,NC03287,10/7/14,Private,Lackard Creek-Tr,not available,Lincoln,-81.1908,35.5465,2,not available,not available
A. G. Smith Dam,NC03174,8/30/91,Private,Scotts Creek-Tr,Sylva,Jackson,-83.2238,35.4116,5,not available,not available
Firestone Pond Dam,NC03533,1/30/15,Private,James Creek-Tr,not available,Moore,-79.3477,35.1672,2,not available,1992
Village Lake Dam,NC03445,12/3/14,Private,Mcalpine Crk-Os,Charlotte,Mecklenburg,-80.7477,35.1594,2,not available,not available
Thompson Lake Dam,NC01594,10/30/14,Private,Kings Creek-Tr,Pine Hall,Guilford,-80.026,36.219,5,not available,not available
Rhodes Lake Dam,NC01145,7/24/15,State,Black River,Falcon,Cumberland,-78.6528,35.2258,2,1770,2011
Gregory Lake Dam,NC01116,11/30/12,Private,Thorton Creek,Erwin,Harnett,-78.701,35.395,5,1962,not available
Hill Top Lake Dam,NC01224,12/19/13,Private,James Branch-Tr,not available,Forsyth,-80.357,36.128,5,1954,not available
Stone Lake Dam,NC01602,2/21/12,Private,Parkers Creek-Tr,King,Forsyth,-80.359,36.258,5,not available,not available
Allen Active Ash Basin Dam,NC01669,8/19/15,Public Utility,Catawba River-Os,Red River,Gaston,-81.0076,35.1741,2,1973,not available
Babcock Lake Dam,NC01446,3/12/93,Private,Crabtree Creek-Tr,Smithfield,Wake,-78.5498,35.7879,5,not available,not available
Gambill Lake Dam Middle,NC01579,10/22/15,Private,Bill Branch-Tr,Pfafftown,Forsyth,-80.366,36.156,2,not available,not available
Tynecastle,NC01243,3/17/15,Private,Watauga River,Foscoe,Avery,-81.8349,36.1209,2,1971,not available
Earle Brevort Dam,NC01653,2/19/04,Private,Lowery Creek-Tr,Falls,Wake,-78.5833,35.9889,5,not available,not available
Beam Lake Dam,NC01684,10/19/11,Private,Beaver Dam-Os,Cherryville,Gaston,-81.338,35.381,5,not available,not available
Caraway Lake Dam #2,NC01650,1/31/13,Private,Caraway Creek-Tr,Farmer,Randolph,-79.898,35.765,5,not available,not available
Mclamb Lake Dam,NC01097,4/7/15,Private,East Mingo Creek,Falcon,Harnett,-78.586,35.3,2,1950,2002
Smith Lake Dam,NC01189,7/29/13,Private,Buckhorn Creek,Clear Run,Sampson,-78.304,34.893,5,1954,not available
Temple Lake Dam,NC01237,12/15/14,Private,Pine Swamp Creek-Tr,Sparta,Alleghany,-81.0965,36.4467,2,1960,not available
Reidsville Quarry Lake Dam,NC01603,12/9/10,Private,Wolf Island Creek-Tr,Reidsville,Rockingham,-79.7219,36.3761,5,1973,not available
Scarborough Lake Dam # 1,NC01178,4/1/08,Private,Hog Swamp,Nichols,Robeson,-79.06,34.513,5,1962,not available
Hideaway Mountain Lake Dam,NC01259,1/15/15,Private,Persimmon Creek-Tr,Hothouse,Cherokee,-84.2351,35.0353,2,not available,not available
Caraway Lake Dam #1,NC01649,2/4/14,Private,Caraway Creek-Tr,Farmer,Randolph,-79.895,35.773,5,not available,not available
Rainbow Lake Dam,NC01140,2/12/08,Private,Gray Creek,Elizabethtown,Cumberland,-78.858,34.925,5,1974,not available
High Shoals Lake Dam,NC01210,11/22/11,Private,South Fork Catawba River,Hardins,Gaston,-81.203,35.397,5,1900,not available
Feeney Dam,NC01226,1/27/15,Private,Hoopers Creek,Hoopers Creek,Henderson,-82.4104,35.4625,2,not available,not available
Knox Lake Dam,NC01545,1/6/15,Private,Moores Creek-Tr,Ossipee,Guilford,-79.955,36.138,5,not available,not available
Hodge Dam,NC01302,1/21/15,Private,Locust Creek-Tr,Sylva,Jackson,-83.1683,35.3579,2,not available,not available
Watauga Vista Dam,NC01365,5/1/14,Private,Watauga Creek,Watauga,Macon,-83.3111,35.2489,2,1968,1985
Little Mountain Aircraft Lake Dam,NC01320,10/14/14,Private,South Fork Creek-Tr,Keisters Store,Catawba,-81.0808,35.5944,5,1974,not available
Lindecamp Pond Dam,NC01861,4/21/09,Private,White Pine Creek,Crossnore,Avery,-81.9162,36.0387,2,not available,not available
Caldwell Pond Dam,NC01907,3/26/15,Private,Unnamed Trib To Pole Creek,Candler,Buncombe,-82.6911,35.5513,2,not available,2010
Ridgewood Farm Dam,NC02767,11/7/13,Private,Beaver Creek-Tr,Ossippee,Guilford,-79.997,36.149,2,not available,not available
Lakeview Farm Dam,NC02833,11/20/14,Private,Hickory Creek-Tr,Greensboro,Guilford,-79.8634,36.009,2,not available,not available
Briggs Lake,NC03061,3/16/82,Private,Boylston Creek-Tr,Brickton,Henderson,-82.5808,35.3583,2,not available,not available
Mission Ready Dam,NC02649,3/5/15,Private,Flat Branch,not available,Graham,-83.8824,35.2553,2,not available,not available
Pilot Life Dam,NC01709,2/3/14,Private,Reddicks Creek-Tr,Randleman,Guilford,-79.887,36.021,2,1953,not available
Price Dam,NC02839,12/9/14,Private,Horsepen Creek-Tr,Greensboro,Guilford,-79.8623,36.1145,2,not available,not available
Olde Farm Lake Dam,NC02949,1/30/08,Private,Anderson Creek,not available,Harnett,-78.99,35.292,2,not available,not available
Huff Pond Dam,NC02993,1/24/12,Private,Long Branch,Clyde,Haywood,-82.9327,35.5607,5,not available,not available
Robinson Dam,NC01917,3/9/95,Private,Hominy Creek-Trib,not available,Buncombe,-82.666,35.5189,2,not available,not available
Quail Roost Lake Dam #3,NC02263,3/7/00,Private,Mountain Creek-Tr,not available,Durham,-78.912,36.195,5,not available,not available
Lineberry Lake Dam,NC02771,not available,Private,Tr- Alamance Creek,Burlington,Guilford,-79.9566,36.1612,5,1970,not available
Mallard Lake Dam Upper,NC02469,10/22/15,Private,Muddy Ck-Tr,not available,Forsyth,-80.322,36.188,2,1967,not available
Church Of God Of Prophecy Dam,NC02757,12/5/13,Private,Hiatt Branch-Tr,High Point,Guilford,-80.008,36.021,2,not available,not available
J.C. Campbell Dam,NC01755,12/4/12,Private,Pine Hall Branch-Tr,not available,Alamance,-79.3413,35.8736,5,1962,not available
Texasgulf Clay Pond Dam #4A,NC01874,4/3/01,Private,Pamlico,Pamlico Beach,Beaufort,-76.7172,35.3305,5,1980,not available
Cotton Pond Dam,NC02288,3/1/93,Private,Stirrup Iron Creek-Tr,not available,Durham,-78.831,35.939,5,not available,not available
Snyder Pond Dam,NC01858,12/5/95,Private,Ashely Creek,not available,Avery,-81.9774,36.0774,2,not available,not available
Camp Lake Dam,NC02037,4/23/14,Private,Camp Creek-Os,not available,Catawba,-81.463,35.6477,5,not available,not available
Cottonade Dam,NC02132,7/29/13,Private,Beaver Creek,Fayetteville,Cumberland,-78.976,35.101,5,not available,not available
Riddle Dam,NC01916,6/12/07,Private,Brooks Branch,Newfound,Buncombe,-82.7383,35.6163,5,not available,not available
Dean Dam,NC02585,2/26/02,Private,Cypress Creek-Tr,not available,Franklin,-78.181,36.09,5,not available,not available
Cady Lake Dam,NC01695,10/4/12,Private,Flat Branch-Os,Van Wyck Sc,Mecklenburg,-80.795,35.057,5,not available,not available
U S Gypsum Tailings Pond Dam,NC02114,4/1/15,Private,Dixon Branch-Tr,Kings Creek Sc,Cleveland,-81.3796,35.2019,5,1972,not available
Mcewen Estate Dam,NC01734,10/7/14,Private,Back Creek,Alamance,Alamance,-79.5337,36.0728,2,1950,not available
Smith Pond Dam,NC01798,7/30/15,Private,Snow Creek-Tr,Cooleemee,Alexander,-81.037,35.942,5,not available,not available
Preston Crossings Dam,NC00877,3/19/13,Private,Turkey Creek-Tr,Cary,Wake,-78.845,35.799,2,not available,not available
Dix Hill Conf Center Lake Dam,NC00929,2/22/07,State,Swift Creek-Tr,Colonial Heights,Wake,-78.706,35.735,5,1948,not available
Golden Pond Dam,NC01001,4/9/02,Private,Robertson Creek-Tr,not available,Granville,-78.654,36.12,5,1955,not available
Thompson Lake Dam,NC01047,6/8/12,Private,Little Creek-Tr,Farrington,Durham,-78.9883,35.9058,5,1956,not available
Roscoe Lake Dam,NC00621,2/18/14,Private,Bear Creek-Tr,Goldston,Chatham,-79.3652,35.6213,5,1900,not available
Camp Kanata Lake Dam #1,NC00855,11/11/07,Private,Mud Branch,Falls,Wake,-78.566,35.998,5,not available,not available
Petty Lake Dam,NC01034,9/27/96,Private,Neuse River-Tr,Redwood,Durham,-78.793,36.032,5,1962,not available
Graham City Lake Dam #1,NC00736,1/26/06,Local Government,Back Creek,Haw River,Alamance,-79.33,36.099,5,1948,not available
Southern C'S Farm Lake Dam,NC00564,12/8/11,Private,Troublesome Creek-Tr,Wittys Crossroads,Rockingham,-79.8672,36.2783,2,1970,not available
Johnson Lake Dam,NC00774,4/14/04,Local Government,Eno River-Tr,Hillsborough,Orange,-79.1304,36.071,5,1955,not available
Cruse Dam,NC00983,2/5/08,Private,Little Marsh Run,Lagrange,Wayne,-77.822,35.369,5,1966,not available
Hester Lake Dam,NC00568,12/13/12,Private,Troublesome Creek-Tr,Foushee,Rockingham,-79.737,36.328,5,1946,not available
Left Whitesell Lake,NC00673,11/21/13,Private,Buffalo Creek-Tr,Ossipee,Guilford,-79.598,36.135,5,1971,not available
Simpson Lake Dam,NC00566,12/4/12,Private,Troublesome Creek-Tr,Foushee,Rockingham,-79.8483,36.2583,5,1958,not available
Lake Largo Dam,NC01056,2/4/81,Private,Shocco Creek,Elberton,Warren,-78.229,36.317,5,1900,not available
Mitchner Lake Dam,NC01065,4/7/04,Private,Buffalo Creek,Louisburg,Franklin,-78.363,36.11,5,1907,not available
Brooks Lake Dam,NC00598,1/16/14,Private,Benaja Creek-Tr,Benaja,Guilford,-79.7191,36.2331,2,1928,not available
Robertson'S Pond,NC00989,1/30/09,Private,Buffalo Creek,Wendell,Wake,-78.413,35.817,2,1900,not available
Foster Lake Dam,NC00685,11/6/12,Private,Reedy Fork Creek-Tr,Ossipee,Guilford,-79.867,36.184,5,1959,not available
Warrens Pond Dam,NC00822,4/21/93,Private,Bear Swamp,Ringwood,Halifax,-77.852,36.373,5,1940,not available
Harrels Lake Dam,NC00890,2/23/82,Private,White Oak Swamp,Stantonsburg,Wilson,-77.772,35.685,5,1955,not available
Lake Wood Dam,NC00722,12/15/14,Private,Back Creek-Tr,Farmer,Randolph,-79.901,35.722,5,1944,not available
Gammon Lake Dam,NC00814,6/21/11,Private,White Oak Swamp-Tr,Tarboro,Edgecombe,-77.6266,36.0436,5,1965,not available
Fred G Bond Dam,NC00926,2/18/14,Local Government,Crabtree Creek,Morrisville,Wake,-78.828,35.781,2,1970,not available
Caswell Wildlife Mgmt Lake Dam,NC00579,4/12/11,State,Penson Creek,Yarbro,Caswell,-79.345,36.358,5,1969,not available
Pinebrook-Pinehurst Unit 14,NC03589,7/14/15,Private,Juniper Creek Trib,Whispering Pines,Moore,-79.4444,35.2264,2,not available,not available
Braswell Milling Co. Dam,NC03633,3/19/03,Private,Pig Basket Trib,not available,Nash,-78.0113,36.0755,5,not available,not available
Charles Naylor Dam,NC04139,6/13/12,Private,Merkle Swamp-Tr,Clinton,Sampson,-78.403,35.16,5,1985,not available
Landrum Lake Dam,NC03195,2/15/93,Private,Reed Branch,Dillsboro,Jackson,-83.273,35.304,5,not available,not available
Register Dam,NC03509,12/28/07,Private,Little River-Os,not available,Montgomery,-79.8,35.423,5,not available,not available
Williams Lake Dam #8,NC03551,5/11/12,Private,Wet Creek-Os,Robbins,Moore,-79.6527,35.305,5,not available,not available
Culler Dam,NC03789,11/29/10,Private,Uwharrie River-Tr,not available,Randolph,-79.946,35.835,5,not available,not available
Brooks Dam,NC04167,10/29/14,Private,Long Creek-Tr,Albemarle,Stanly,-80.2936,35.4236,2,1980,not available
Robbins Raw Water Reservoir,NC03571,4/23/08,Local Government,Bear Creek,Robbins,Moore,-79.6008,35.4313,5,1980,not available
Arch Johnson Pond Dam,NC03514,8/29/12,Private,Little River-Os,Whispering Pines,Moore,-79.552,35.26,5,not available,not available
Deer Pond Ltd. Dam,NC04299,2/1/11,Private,Yadkin River-Tr,Siloam,Surry,-80.6055,36.2813,5,not available,2004
Phillips Pond,NC03497,1/25/78,Not Listed,not available,not available,Mitchell,-82.0258,35.9261,2,not available,not available
Hazel Farm Pond,NC03166,10/19/11,Private,South Yadkin River-Tr,not available,Iredell,-80.8883,35.895,5,not available,not available
Pellynwood Lake Dam,NC03421,1/16/15,Private,Mcalpine Creek-Tr,Charlotte,Mecklenburg,-80.7917,35.134,2,not available,1995
Carnett Boney Dam,NC04127,5/13/08,Private,Coharie Creek-Os,Clinton,Sampson,-78.3927,34.995,5,1984,not available
Hideaway Bay Dam,NC03448,12/11/14,Private,Mcalpine Creek-Tr,Charlotte,Mecklenburg,-80.7425,35.2185,2,not available,1994
Brittain Pond Dam #2,NC04147,11/8/12,Private,Island Creek-Os,not available,Stanly,-80.3833,35.2622,5,not available,not available
Herring Lake Dam,NC04135,2/3/11,Private,Mcphail Branch,Clinton,Sampson,-78.424,35.156,5,1978,not available
George Williams Dam # 2,NC03600,10/28/13,Private,Buffalo Creek-Tr,Garners Store,Moore,-79.5813,35.3772,5,1988,not available
Ethel Propst Dam,NC04070,1/27/15,Private,Cold Water Cr-Tr,not available,Rowan,-80.5465,35.5595,2,not available,not available
Hix James Dam,NC03131,3/4/15,Private,Dutchman Creek-Tr,not available,Iredell,-80.7963,35.9575,5,not available,not available
Fletcher Knight Dam,NC03892,11/25/12,Private,Little Hogans Creek-Tr,Eden,Rockingham,-79.97,36.333,5,not available,not available
Langenthal Mills Dam,NC04238,2/7/13,Private,Payne Branch-Tr,Germanton,Stokes,-80.294,36.272,5,not available,not available
Lowery Pond Dam,NC03499,3/3/15,Private,Grassy Creek,Spruce Pine,Mitchell,-82.0742,35.8526,5,not available,not available
Brame Lake Dam,NC03885,12/4/12,Private,Massey Creek-Tr,Eden,Rockingham,-79.814,36.374,5,1981,not available
Winterbrooke Dam,NC03488,12/8/14,Private,Fourmile Creek-Tr,Matthews,Mecklenburg,-80.732,35.095,2,not available,9999
Barricks Lake Dam,NC01609,2/8/11,Private,Reedy Fork Creek-Tr,Ossipee,Guilford,-79.9108,36.1986,5,not available,not available
Wooten Lake,NC01542,11/6/13,Private,Kerners Mill Creek-Tr,Winston-Salem,Forsyth,-80.159,36.089,5,not available,not available
Atkins Lake Dam,NC01592,10/28/14,Private,Reedy Fork Creek-Tr,Altamahaw,Guilford,-80.005,36.131,5,not available,not available
Stone Lake Dam,NC01399,12/4/12,Private,Big Pine Creek-Tr,Cherry Lane,Alleghany,-80.995,36.484,5,1952,not available
Crabtree Creek W/S Dam #18,NC01453,3/30/11,Local Government,Coles Creek,Morrisville,Wake,-78.829,35.8,2,1973,not available
Quinlan Lake Dam,NC01325,10/17/12,Private,Lippard Creek-Tr,Mount Holly,Lincoln,-81.138,35.537,5,not available,not available
Little Yadkin River W/S Dam #12,NC01498,1/15/15,Local Government,E Prong Little Yadkin Rvr-Tr,Pinnacle,Stokes,-80.358,36.362,2,1989,not available
Dutchmans Creek W/S Dam #6 (Pl-566),NC01424,12/9/14,Local Government,Greasy Creek,High Rock,Davie,-80.597,35.99,2,1975,not available
Big Dan Lake Dam,NC01496,12/14/10,Private,Dan River-Tr,Danbury,Stokes,-80.391,36.537,5,not available,not available
Cypress Lake Dam,NC01119,2/12/08,Private,Grays Creek,Grays Creek Township,Cumberland,-78.877,34.923,5,1968,not available
Fox Lake Dam,NC01442,2/12/15,Private,Celia Creek-Tr,Gamewell,Caldwell,-81.6716,35.8872,2,1961,not available
Mint Lake Dam,NC01387,1/31/12,Not Listed,Mint Branch,Cozads Mill,Macon,-83.4592,35.174,5,not available,not available
Stone Pond Dam,NC01553,not available,Private,Tr- Little River N Fork,Raleigh,Orange,-79.0933,36.2281,0,1974,not available
Loflin Lake Dam,NC01530,4/9/14,Private,Yadkin River-Tr,High Rock,Forsyth,-80.483,36.0588,5,1979,not available
Ski Lake Dam,NC01644,11/13/13,Private,Brush Creek-Tr,Ossipee,Guilford,-79.89,36.154,2,not available,2008
Beacon Reservoir Dam,NC01246,6/8/07,Private,Swannanoa River-Tr,not available,Buncombe,-82.389,35.591,2,not available,not available
Watson Lake Dam,NC01124,3/5/08,Private,Cape Fear River-Os,Elizabethtown,Cumberland,-78.875,35.0063,5,1952,not available
Todd Lake Dam,NC01491,1/25/12,Private,Harmon Creek-Tr,High Rock,Yadkin,-80.644,36.076,5,1978,not available
Chryson Lake,NC01476,3/20/14,Private,Christian Creek-Tr,Rockford,Surry,-80.874,36.454,5,not available,not available
Rink Lake Dam,NC01342,2/5/15,Public Utility,Little River,Falls,Alexander,-81.2666,35.8302,2,1917,not available
Carolina Forest Lake Dam,NC01411,3/1/12,Private,Little Pocket Creek,Lillington,Lee,-79.2846,35.4983,5,1974,not available
Hollaman Lake Dam,NC01386,2/7/13,Private,French Broad River-Trib,Asheville,Henderson,-82.5449,35.4024,5,not available,not available
Marshall Pond Dam,NC01428,1/5/15,Private,Turner Creek-Tr,High Rock,Davie,-80.54,36.043,5,not available,not available
Ellington Lake Dam,NC01495,1/6/15,Private,Buffalo Creek-Tr,Mayodan,Stokes,-80.0883,36.5041,5,1965,not available
East Hamlett Lake Dam,NC01641,12/13/11,Private,Hasketts Creek-Tr,Central Falls,Randolph,-79.79,35.766,5,not available,not available
Haynes Lake Dam,NC02433,9/23/15,Private,Muddy Creek-Tr,High Rock,Forsyth,-80.3316,36.1093,2,not available,not available
Jerry Peoples Pond,NC02231,not available,Private,Tr- Hunting Creek,Cooleemee,Davie,-80.6964,35.9118,5,1978,not available
Reynolds Lake Dam #1,NC02370,9/22/15,Private,Johnson Creek-Tr,Clemmons,Forsyth,-80.3919,36.0321,2,not available,not available
Blue Ridge Communtiy College Dam,NC03005,1/12/15,State,Bat Fork Creek,Hendersonville,Henderson,-82.4249,35.3062,2,not available,2009
Knight Dam,NC02927,12/4/14,Private,Long Branch-Tr,Greensboro,Guilford,-79.8272,36.2027,2,1984,not available
Ben Webber Lake Dam,NC02629,1/14/15,Local Government,Long Creek-Tr,Bessemer City,Gaston,-81.3252,35.3011,2,1982,not available
W.R. Bonsal Mud Pond Dike,NC01831,5/24/13,Private,Island Creek,"Cheraw, S.C.",Anson,-79.939,34.948,5,1986,1991
Weber Pond Dam,NC01856,3/17/15,Private,Linville River-Tr,Linville,Avery,-81.8924,36.0647,2,2007,2008
Harris Dam Lower,NC02816,12/10/14,Private,Hickory Creek-Tr,Randleman,Guilford,-79.866,35.977,5,not available,not available
Shearon Lake Dam,NC01703,3/30/99,Private,Little River-Tr,Lowell Mill,Wake,-78.4162,35.9617,5,1980,not available
Triangle Dam,NC01866,1/24/13,Private,Curtis Creek,Heaton,Avery,-81.9369,36.149,2,not available,not available
Plemmons Pond Dam,NC01902,2/4/15,Private,Ut To Bill Moore Creek,Enka,Buncombe,-82.6654,35.5035,5,not available,not available
Lewis Faw Dam-Breached,NC02016,12/31/96,Private,Warrior Creek-Tr,not available,Caldwell,-81.5747,35.9763,2,1984,not available
Ravenswood Lake Dam,NC03026,2/14/89,Private,French Broad River-Tr,Flat Rock,Henderson,-82.4436,35.2705,5,not available,not available
Kruger Lake Dam,NC03009,9/12/95,Private,Green River-Tr,Tuxedo,Henderson,-82.4938,35.195,5,not available,not available
Powell Dam,NC01782,10/30/14,Private,Stagg Creek-Tr,Mebane,Alamance,-79.3027,36.1325,5,1984,not available
Lakota Farm Dam,NC02861,12/19/13,Private,North Buffalo Creek-Tr,Mcleansville,Guilford,-79.6617,36.1446,2,not available,not available
Taylor-Brown Pond Dam,NC01881,10/28/08,Private,Salmon Creek-Tr,Merry Hill,Bertie,-76.7761,36.0424,5,1955,not available
River Bend Farm Dam,NC02247,not available,Private,Tr- Yadkin River,Spencer,Davie,-80.4626,36.0531,0,1978,not available
Superior Stone Co. Dam,NC02822,12/13/12,Private,Rock Creek-Tr,Alamance,Guilford,-79.6166,36.1155,5,1925,not available
Reeves Pond,NC02071,not available,Private,Roberson Creek,Pittsboro,Chatham,-79.1958,35.7212,5,1969,not available
Embrook Dam,NC03062,4/1/14,Private,King Creek-Tr,Hendersonville,Henderson,-82.4366,35.2649,5,not available,not available
Cabarrus Country Club Lake Dam,NC01977,11/25/14,Private,Wolf Meadow Branch,Roberta Mill,Cabarrus,-80.6427,35.3911,2,not available,not available
Mitchner Dam,NC02502,4/3/03,Private,Buffalo Creek-Tr,not available,Franklin,-78.398,36.104,5,not available,not available
Hackett Lake Dam,NC02876,11/5/14,Private,Little Alamance Creek-Tr,not available,Guilford,-79.7338,36.0336,5,not available,not available
Kellys Pond Dam,NC00946,3/7/13,Private,Southwest Creek,Graingers,Lenoir,-77.544,35.229,2,1774,not available
Grays Millpond Dam,NC00945,3/7/13,Private,Wheat Swamp Creek,Grifton,Greene,-77.6615,35.3524,2,1928,not available
Moss Lake Dam #1,NC00831,2/14/02,Private,Jack Horse Swamp-Tr,Bricks,Halifax,-77.83,36.189,5,1946,not available
Clark Lake Dam,NC01048,3/26/02,Private,New Hope Creek-Tr,Farrington,Durham,-78.9972,35.9393,5,1945,not available
Adams Lake Dam,NC00695,1/13/14,Private,Bull Run Creek-Tr,Jamestown,Guilford,-79.907,36.023,2,1955,2002
Turfgrass Lake Dam #1,NC00992,12/31/11,Private,Crabtree Creek-Tr,Smithfield,Wake,-78.552,35.7791,5,1959,not available
Pritchett'S Lake Dam,NC00702,11/21/13,Private,Haw River-Tr,Altamahaw,Guilford,-79.5963,36.2394,5,1953,not available
Bass Lake Dam,NC00934,3/7/13,Local Government,Basal Creek,Holly Springs,Wake,-78.803,35.642,2,1900,2004
Davis Millpond Dam,NC00949,9/21/10,Private,Trotters Creek,Kinston,Lenoir,-77.784,35.195,5,1850,not available
Southerland Lake Dam,NC01018,5/7/93,Local Government,Sandy Creek,Gold Rock,Vance,-78.292,36.29,5,1880,not available
Bunn Lake Dam,NC01070,2/3/12,Private,Moccasin Creek,Zebulon,Franklin,-78.271,35.852,2,1930,not available
Blue Lake Dam,NC01090,2/21/13,Private,Gum Swamp Creek,Dillon Sc,Scotland,-79.519,34.736,5,1931,not available
Fishing Creek Millpond Dam,NC00920,2/25/75,Private,Fishing Creek,Bricks,Nash,-77.7427,36.1541,5,1800,not available
Tyers Pond Dam,NC00897,2/20/08,Private,Kitten Creek-Tr,Greenville,Pitt,-77.5433,35.6966,5,1954,not available
Eastwood Lake Dam,NC00781,6/8/12,Private,Booker Creek,Chapel Hill,Orange,-79.031,35.946,2,1937,not available
Partin Lake Dam,NC00853,1/9/12,Private,Black Creek,Mount Pleasant,Wake,-78.736,35.57,5,not available,not available
Townsend Foods Dam,NC00630,1/26/12,Private,Roberson Creek-Tr,Pittsboro,Chatham,-79.171,35.694,5,1963,not available
Bengston Lake Dam #3,NC00716,4/8/08,Private,Jackson Creek-Os,Jackson Springs,Moore,-79.635,35.232,5,1965,not available
Panther Lake Dam,NC00876,2/21/13,Private,Black Creek,Smithfield,Wake,-78.692,35.566,2,1920,not available
Robbins Lake Dam,NC00605,1/10/13,Private,Beaver Creek-Tr,Alamance,Guilford,-79.7,35.987,5,1952,not available
Blaylock Lake Dam,NC00677,11/4/13,Private,Haw River-Tr,Oak Ridge,Guilford,-80.0144,36.1733,2,1955,not available
Williams Lake Dam,NC00576,11/25/14,Private,Burke Creek-Os,Yarbro,Caswell,-79.3747,36.2975,5,1964,not available
Bland Lake Dam,NC00633,5/22/14,Private,Beaverdam Branch,Rockingham,Richmond,-79.7463,34.9019,2,1971,not available
Sylvania Lake Dam,NC00966,3/10/00,Private,Mill Creek,Cox Mill,Johnston,-78.2486,35.3597,5,1973,not available
Sky View Lake Dam,NC00784,3/23/00,Private,Big Buffalo Creek-Tr,Moncure,Lee,-79.212,35.542,5,1955,not available
Revis Dam,NC03999,11/7/12,Private,Troublesome Creek-Tr,not available,Rockingham,-79.7177,36.3313,5,not available,not available
Mullis Dam,NC03140,10/9/14,Private,Camel Branch-Tr,not available,Iredell,-80.834,35.994,5,not available,not available
Bass Lake Dam,NC04358,5/26/15,Private,French Broad River-Tr,Horseshoe,Transylvania,-82.6248,35.2899,2,not available,not available
Lower Toms Creek Nursery Dam,NC03772,11/19/13,Private,Toms Creek-Tr,Farmer,Randolph,-79.9869,35.6463,2,not available,not available
Williams Lake Dam,NC03882,12/4/14,Private,Belews Creek-Tr,Madison,Rockingham,-80.0166,36.2819,5,1981,not available
Lower Albert Dam,NC03896,11/15/12,Private,Hogans Creek-Tr,Eden,Rockingham,-79.97,36.291,5,1978,not available
Longleaf Golf Course Dam,NC03521,10/20/15,Private,Mill Creek,not available,Moore,-79.4186,35.211,2,not available,not available
Cedar Lake Dam,NC03271,8/16/10,Not Listed,Deep River-Tr,not available,Lee,-79.154,35.592,2,not available,not available
Maplecroft Dam,NC03479,12/2/14,Private,South Prong West Branch-Tr,not available,Mecklenburg,-80.8033,35.4622,2,not available,not available
Owen Dam,NC04092,3/27/13,Private,2Nd Broad River-Tr,Caroleen,Rutherford,-81.8207,35.3215,5,not available,not available
