,,,,,,,,,,,
dam_name,nidid,inspection_date,owner_typ,river,city,county,longitude,latitude,inspection_frequency,year_completed,year_modified
Adventure Trek Camp Dam,NC03194,1/20/11,Private,Grassy Camp Creek-Tr,Glenville,Jackson,-83.1508,35.1394,5,not available,not available
Lewis Dam,NC04356,5/7/15,Private,Osborne Branch,Mills River,Transylvania,-82.6688,35.3152,2,not available,not available
Starling Dam,NC03338,2/24/14,Private,Rocky Branch-Tr,Iotla,Macon,-83.4038,35.2086,5,1955,not available
Pinehurst National-Dam #1,NC03599,8/18/15,Private,Aberdeen Creek-Tr,Aberdeen,Moore,-79.4436,35.1886,2,1989,not available
Britt Lake Dam,NC01193,1/8/09,Private,Western Prong Creek,Mount Olive,Columbus,-78.7858,34.4005,5,1968,not available
Brock Millpond Dam,NC01105,2/12/13,Local Government,Crooked Run,Trenton,Jones,-77.356,35.06,2,1738,9999
Fagg Lake Dam -Formerly Lovell,NC01590,11/20/13,Private,Martin Mill Lake-Tr,Kernersville,Forsyth,-80.139,36.131,5,not available,not available
Springdale Estates Lower Dam,NC01633,12/1/98,Private,Hare Snipe Creek,Raleigh,Wake,-78.711,35.896,5,not available,not available
Grandfather Mountain Club Lake Dam,NC01245,5/14/15,Private,Grandmother Creek,Linville,Avery,-81.845,36.0725,2,not available,not available
Burningtown Lake Dam,NC01614,2/24/14,Private,Daves Creek,Stiles,Macon,-83.4854,35.2418,2,1970,not available
Hillsdale Farm Dam,NC02924,12/4/14,Private,Reedy Fork Creek-Tr,Ossipee,Guilford,-79.848,36.189,5,1926,not available
Moose Lodge Dam,NC02159,1/15/09,Private,Blounts Creek,Fayetteville,Cumberland,-78.909,35.029,2,not available,1994
Christ School Lake Dam,NC01889,2/14/13,Private,Roberson Creek-Trib,Fletcher,Buncombe,-82.4885,35.471,5,not available,not available
Elida Home Lake Dam,NC01896,6/12/07,Private,S Mill Creek-Tr,not available,Buncombe,-82.6132,35.5978,2,not available,not available
Crusher Cove Dam,NC02647,5/7/13,Private,Snowbird Creek-Trib,Santeetlah,Graham,-83.9605,35.2284,5,1985,not available
Goodman Pond Dam,NC01944,1/5/15,Private,Irish Creek-Tr,not available,Burke,-81.7641,35.8035,5,not available,not available
Whiteside Dam Upper,NC01718,10/15/15,Private,Crowder Creek-Tr,South Gastonia,Gaston,-81.259,35.245,5,1959,not available
Forest Lake Dam,NC01691,1/8/15,Private,Mcalpine Creek-Tr,Charlotte,Mecklenburg,-80.719,35.205,2,not available,not available
Woodview Lake Dam-Lower,NC02457,10/22/15,Private,Mill Creek #3-Tr,Bethania,Forsyth,-80.347,36.191,2,not available,not available
Jacobs Pond Dam,NC02614,1/14/15,Private,Long Creek-Tr,Bessemer City,Gaston,-81.2489,35.314,2,not available,2002
Satterfield Dam #1,NC02475,1/30/13,Private,Yadkin River-Tr,not available,Forsyth,-80.4416,36.1333,5,1983,not available
Deep River Pointe-Lower Dam,NC02803,2/18/14,Local Government,East Fork Deep River-Tr,High Point,Guilford,-79.9669,36.0361,2,not available,not available
Mclawhorn Pond Dam,NC02126,2/5/08,Private,Trent River-Tr,Trentwoods,Craven,-77.1803,35.0616,5,1975,not available
Mallard Dam,NC02842,12/18/14,Private,Richland Creek-Tr,not available,Guilford,-79.829,36.139,2,not available,not available
Brushy Creek Dam 6A,NC01867,3/15/01,Private,North Toe River-Tr,Spruce Pine,Avery,-81.9974,35.9433,2,not available,not available
Roddy Dam,NC01936,2/25/15,Private,Reems Creek-Tr,Alexander,Buncombe,-82.5901,35.6984,2,not available,not available
Holcombe Dam,NC01904,3/25/15,Private,Flat Creek-Tr,Marshall,Buncombe,-82.55,35.7525,2,1957,not available
Walters Lake Dam,NC01915,10/25/07,Private,Upper Flat Creek-Trib,Bat Cave,Buncombe,-82.3356,35.5337,2,not available,not available
Martin Dam,NC01698,2/12/15,Private,Fifth Creek-Tr,Cool Springs,Iredell,-80.8541,35.8619,2,1930,1998
Lye Dam,NC02487,5/14/02,Private,Horse Creek-Tr,Wake Forest,Franklin,-78.5377,36.0217,5,not available,not available
Long Valley Lake Dam,NC01935,4/22/13,Private,Long Valley Branch,Asheville,Buncombe,-82.5868,35.5477,5,1983,not available
Morningstar Farm Lagoon Dam,NC02490,11/19/96,Private,Crooked Creek-Tr,not available,Franklin,-78.3602,36.0091,5,not available,not available
Joe Sherrill Dam,NC02929,11/4/13,Private,Haw River-Tr,not available,Guilford,-80.0075,36.1977,5,1986,not available
Hedrick Tailings Dike #1,NC01829,10/31/12,Private,Island Creek,not available,Anson,-79.92,34.95,5,1982,not available
Ridgeway Dam,NC01900,5/12/15,Private,French Broad River-Tr,None,Buncombe,-82.6296,35.7517,5,1966,not available
Frady Dam,NC03037,1/6/15,Private,Kimsey Creek-Tr,Long Shoals,Henderson,-82.5218,35.4401,2,not available,not available
Poplar Lake Dam,NC02008,4/22/13,Private,Little Gunpowder Creek-Tr,not available,Caldwell,-81.4708,35.827,5,not available,not available
Lake Louise Dam,NC01908,3/27/14,Local Government,Reems Creek-Tr,Alexander,Buncombe,-82.57,35.688,5,not available,not available
Camp Tekoa Dam,NC03047,4/22/15,Private,Mud Creek-Tr,Hendersonville,Henderson,-82.5071,35.2611,5,not available,not available
Kimmey - Spearman Pond Dam,NC03055,5/19/14,Private,Horseshoe,not available,Henderson,-82.5252,35.2844,5,not available,not available
John Painter Dam,NC02902,12/19/13,Private,Rock Creek-Tr,not available,Guilford,-79.62,36.092,2,not available,not available
Brinkley Dam,NC02187,9/3/14,Private,Swearing Creek-Tr,Lexington,Davidson,-80.258,35.871,5,1984,not available
Moody Dam,NC01910,3/14/13,Private,Ballard Creek (C),Candler,Buncombe,-82.7242,35.4623,5,not available,not available
Maxwell Dam,NC02135,1/15/09,Private,Rockfish Creek-Os,Hope Mills,Cumberland,-78.977,34.972,5,not available,not available
Ross Pond Dam,NC03040,4/3/13,Private,"Ut To Turnbreeches Cr (C, Tr)",Bat Cave,Henderson,-82.3016,35.3952,5,not available,not available
Coffey Pond Dam,NC01952,5/20/15,Private,Bailey Branch-Tr,not available,Burke,-81.7318,35.6748,2,not available,not available
Dutchman Creek W/S Dam #7 (Pl-566),NC02252,12/9/14,Local Government,Frost Mill Creek,High Rock,Davie,-80.554,35.963,2,1985,not available
Welborn Dam,NC02807,12/17/14,Private,Muddy Creek-Tr,Randleman,Guilford,-79.93,35.919,2,not available,not available
Northline Corporation Dam,NC02838,12/9/14,Local Government,North Buffalo Creek-Tr,Greensboro,Guilford,-79.8355,36.0892,2,not available,1988
John King Dam,NC03093,2/6/13,Private,Quewhifle Creek-Tr,Wagram,Hoke,-79.3622,35.078,5,1982,not available
Pittsboro Water Supply Dam,NC02065,2/23/01,Local Government,Robersion Creek-Tr,Pittsboro,Chatham,-79.182,35.715,5,not available,not available
Cecil Dam #1,NC02805,11/13/12,Private,Richland Creek-Tr,Randleman,Guilford,-79.928,35.935,5,1968,not available
Mohorn Dam,NC02943,not available,Private,Tr- Rocky Swamp Creek,Enfield,Halifax,-77.8222,36.3144,5,1987,not available
Edwards Lake Dam (Turtle Creek Nursery),NC01701,3/20/14,Private,Rocky River-Os,Concord,Cabarrus,-80.7727,35.5047,5,1977,not available
Furnitureland South Dam,NC02928,2/5/14,Private,Trib. Deep River,Jamestown,Guilford,-79.923,35.974,5,1994,not available
Sportsmans Wildlife Club Dam,NC02781,12/11/13,Private,Haw River-Tr,Ossippee,Guilford,-79.897,36.232,5,not available,not available
Lake Katherine Dam,NC02444,2/23/11,Private,Silas Creek,Winston-Salem,Forsyth,-80.284,36.129,5,not available,not available
Beaver Creek Dam,NC02581,2/19/04,Private,Billys Creek,not available,Franklin,-78.449,36.11,5,1986,not available
Doub Estate Dam,NC02359,1/23/14,Private,Bashavia Creek-Tr,High Rock,Forsyth,-80.3838,36.1766,5,not available,not available
Motley Lake Dam A (Lower),NC01963,10/22/13,Private,Coddle Creek-Os,Roberta Mill,Cabarrus,-80.6833,35.4252,5,not available,not available
Cox Dam Upper,NC02758,10/22/14,Private,West Fork Deep River-Tr,High Point,Guilford,-80.0261,36.0691,5,not available,not available
Guilford Technical Institute Dam,NC02831,2/5/14,State,Bull Run Creek-Tr,Jamestown,Guilford,-79.8991,35.9989,2,not available,not available
Lithco Mine Tailings Dam F,NC02641,9/10/15,Private,Long Creek,Bessemer City,Gaston,-81.2984,35.3383,2,1992,not available
Mike Davis Lagoon,NC02118,not available,Private,Tr- Bushy Creek,"Lockhart, Sc",Cleveland,-81.6292,35.3532,5,1979,not available
Novo Lagoon,NC02514,3/19/02,Private,Cedar Creek,Franklinton,Franklin,-78.395,36.0836,5,1994,not available
Dupree Dam,NC02519,3/19/04,Private,Wolfpen Branch-Tr,not available,Franklin,-78.3052,36.0844,5,not available,not available
Cy Purser Pond Dam,NC01791,2/4/15,Private,Beaver Branch-Tr,Liledoun,Alexander,-81.2675,35.9344,2,not available,not available
Tallywood Dam,NC02136,11/18/13,Private,Branson Creek Trib.,Fayetteville,Cumberland,-78.931,35.051,2,not available,not available
Reinhardt Pond Dam,NC02048,2/25/14,Private,Catawba River-Tr,not available,Catawba,-81.2722,35.5697,5,not available,not available
Pomona Quarry Dam Lower,NC02798,12/15/10,Private,Long Branch-Tr,High Point,Guilford,-79.9288,36.0547,5,not available,not available
Point East Dam,NC02144,7/30/13,Private,Kirks Mill Creek,Tar Heel,Cumberland,-78.8538,34.8572,2,not available,not available
Tenney Dam,NC01890,4/19/12,Private,French Broad River-Trib,Asheville,Buncombe,-82.5527,35.4633,5,not available,not available
Long Hope Club Dam,NC01842,11/5/14,Private,Long Hope Creek,Creston,Ashe,-81.623,36.405,2,not available,not available
Old Deep River Golf Course Dam,NC02931,1/10/14,Private,East Fork Deep River-Tr,Greensboro,Guilford,-79.9661,36.0788,2,not available,not available
Williams Dam,NC02818,12/10/14,Private,Polecat Creek-Tr,Randleman,Guilford,-79.825,35.982,5,not available,not available
Ravenwood Dam,NC01742,12/11/12,Private,Service Creek,Burlington,Alamance,-79.459,36.12,5,not available,not available
Sorrell Dam,NC02632,10/23/14,Private,South Crowders Creek Trib,not available,Gaston,-81.2975,35.1984,5,1975,not available
Lowery Dam,NC02571,4/19/04,Private,Horse Creek-Tr,not available,Franklin,-78.533,36.026,5,not available,not available
Roth Dam,NC02819,11/20/13,Private,Hickory Creek-Tr,Randleman,Guilford,-79.843,35.976,2,not available,not available
Bond Pond Dam,NC02962,10/25/12,Private,Barbeque Swamp-Os,Harnett,Harnett,-79.0952,35.2936,5,not available,not available
Pcs Phosphate #5A Blend Dike,NC01878,4/3/01,Private,South Creek,not available,Beaufort,-76.7388,35.3222,5,1985,not available
Shaffer & Joyce Dam,NC04203,1/6/15,Private,Big Beaver Island Creek-Tr,Madison,Stokes,-80.0411,36.4777,5,not available,not available
